Time stamp,LG 14,LG 15,LG 16,LG 17,LG 18,LG 19,LG 20,dataset_id
2016-09-01 00:00:00,0.0,2590.4,0,0.0,0.0,0.0,0,0
2016-09-01 00:15:00,0.0,2582.4,0,0.0,0.0,0.0,0,0
2016-09-01 00:30:00,0.0,2604.8,0,0.0,0.0,0.0,0,0
2016-09-01 00:45:00,0.0,2601.6,0,0.0,0.0,0.0,0,0
2016-09-01 01:00:00,0.0,2606.4,0,0.0,0.0,0.0,0,0
2016-09-01 01:15:00,0.0,2601.6,0,0.0,0.0,0.0,0,0
2016-09-01 01:30:00,0.0,2577.6,0,0.0,0.0,0.0,0,0
2016-09-01 01:45:00,0.0,2564.8,0,0.0,0.0,0.0,0,0
2016-09-01 02:00:00,0.0,2564.8,0,0.0,0.0,0.0,0,0
2016-09-01 02:15:00,0.0,2584.0,0,0.0,0.0,0.0,0,0
2016-09-01 02:30:00,0.0,2577.6,0,0.0,0.0,0.0,0,0
2016-09-01 02:45:00,0.0,2587.2,0,0.0,0.0,0.0,0,0
2016-09-01 03:00:00,0.0,2572.8,0,0.0,0.0,0.0,0,0
2016-09-01 03:15:00,0.0,2572.8,0,0.0,0.0,0.0,0,0
2016-09-01 03:30:00,0.0,2580.8,0,0.0,0.0,0.0,0,0
2016-09-01 03:45:00,0.0,2585.6,0,0.0,0.0,0.0,0,0
2016-09-01 04:00:00,0.0,2579.2,0,0.0,0.0,0.0,0,0
2016-09-01 04:15:00,0.0,2582.4,0,0.0,0.0,0.0,0,0
2016-09-01 04:30:00,0.0,2552.0,0,0.0,0.0,0.0,0,0
2016-09-01 04:45:00,0.0,2566.4,0,0.0,0.0,0.0,0,0
2016-09-01 05:00:00,0.0,2576.0,0,0.0,0.0,0.0,0,0
2016-09-01 05:15:00,0.0,2587.2,0,0.0,0.0,0.0,0,0
2016-09-01 05:30:00,0.0,2592.0,0,0.0,0.0,0.0,0,0
2016-09-01 05:45:00,0.0,2569.6,0,0.0,0.0,0.0,0,0
2016-09-01 06:00:00,0.0,2571.2,0,0.0,0.0,0.0,0,0
2016-09-01 06:15:00,0.0,2604.8,0,0.0,0.0,0.0,0,0
2016-09-01 06:30:00,0.0,2609.6,0,0.0,0.0,0.0,0,0
2016-09-01 06:45:00,0.0,2611.2,0,0.0,0.0,0.0,0,0
2016-09-01 07:00:00,0.0,2620.8,0,0.0,0.0,0.0,0,0
2016-09-01 07:15:00,0.0,2620.8,0,0.0,0.0,0.0,0,0
2016-09-01 07:30:00,0.0,2638.4,0,0.0,0.0,0.0,0,0
2016-09-01 07:45:00,0.0,2654.4,0,0.0,0.0,0.0,0,0
2016-09-01 08:00:00,322.0,2635.2,0,0.0,0.0,0.0,0,0
2016-09-01 08:15:00,0.0,2628.8,0,0.0,0.0,0.0,0,0
2016-09-01 08:30:00,318.0,2659.2,0,0.0,0.0,0.0,0,0
2016-09-01 08:45:00,324.0,2651.2,0,0.0,0.0,0.0,0,0
2016-09-01 09:00:00,0.0,2660.8,0,0.0,0.0,0.0,0,0
2016-09-01 09:15:00,0.0,2659.2,0,0.0,0.0,0.0,0,0
2016-09-01 09:30:00,0.0,2673.6,0,0.0,0.0,0.0,0,0
2016-09-01 09:45:00,0.0,2680.0,0,0.0,0.0,0.0,0,0
2016-09-01 10:00:00,335.0,2644.8,0,0.0,0.0,0.0,0,0
2016-09-01 10:15:00,334.0,2646.4,0,0.0,0.0,0.0,0,0
2016-09-01 10:30:00,321.0,2617.6,0,0.0,0.0,0.0,0,0
2016-09-01 10:45:00,0.0,2628.8,0,0.0,0.0,0.0,0,0
2016-09-01 11:00:00,318.0,2622.4,0,0.0,0.0,0.0,0,0
2016-09-01 11:15:00,338.0,2646.4,0,0.0,0.0,0.0,0,0
2016-09-01 11:30:00,332.0,2678.4,0,0.0,0.0,0.0,0,0
2016-09-01 11:45:00,0.0,2688.0,0,0.0,0.0,0.0,0,0
2016-09-02 01:00:00,0.0,2617.6,0,0.0,0.0,0.0,0,1
2016-09-02 01:15:00,0.0,2625.6,0,0.0,0.0,0.0,0,1
2016-09-02 01:30:00,0.0,2616.0,0,0.0,0.0,0.0,0,1
2016-09-02 01:45:00,0.0,2611.2,0,0.0,0.0,0.0,0,1
2016-09-02 02:00:00,0.0,2636.8,0,0.0,0.0,0.0,0,1
2016-09-02 02:15:00,0.0,2625.6,0,0.0,0.0,0.0,0,1
2016-09-02 02:30:00,0.0,2628.8,0,0.0,0.0,0.0,0,1
2016-09-02 02:45:00,0.0,2627.2,0,0.0,0.0,0.0,0,1
2016-09-02 03:00:00,0.0,2628.8,0,0.0,0.0,0.0,0,1
2016-09-02 03:15:00,0.0,2640.0,0,0.0,0.0,0.0,0,1
2016-09-02 03:30:00,0.0,2625.6,0,0.0,0.0,0.0,0,1
2016-09-02 03:45:00,0.0,2608.0,0,0.0,0.0,0.0,0,1
2016-09-02 04:00:00,0.0,2616.0,0,0.0,0.0,0.0,0,1
2016-09-02 04:15:00,0.0,2614.4,0,0.0,0.0,0.0,0,1
2016-09-02 04:30:00,0.0,2606.4,0,0.0,0.0,0.0,0,1
2016-09-02 04:45:00,0.0,2604.8,0,0.0,0.0,0.0,0,1
2016-09-02 05:00:00,0.0,2604.8,0,0.0,0.0,0.0,0,1
2016-09-02 05:15:00,0.0,2611.2,0,0.0,0.0,0.0,0,1
2016-09-02 05:30:00,0.0,2624.0,0,0.0,0.0,0.0,0,1
2016-09-02 05:45:00,0.0,2622.4,0,0.0,0.0,0.0,0,1
2016-09-02 06:00:00,0.0,2635.2,0,0.0,0.0,0.0,0,1
2016-09-02 06:15:00,0.0,2651.2,0,0.0,0.0,0.0,0,1
2016-09-02 06:30:00,0.0,2636.8,0,0.0,0.0,0.0,0,1
2016-09-02 06:45:00,0.0,2641.6,0,0.0,0.0,0.0,0,1
